,Away,Home,is_B2B_First_Away,is_B2B_First_Home,is_B2B_Second_Away,is_B2B_Second_Home,Away_Prob_Naive,Home_Prob_Naive,Home_Prob_Adjusted,Away_Prob_Adjusted,Home_Odds,Away_Odds,Home_Prob_Odds,Away_Prob_Odds,Home_Prob_Diff,Away_Prob_Diff,Home_Bet_Size,Away_Bet_Size,Home_Bet,Away_Bet,Potential_Payoff,Date,Won_Bet,Capital
56,Orlando Magic,Toronto Raptors,1,0,0,1,0.2247226355569704,0.4561176453294164,0.8174578818985542,0.18254211810144585,-375.0,300.0,0.7894736842105263,0.25,0.027984197688027845,-0.06745788189855417,0.013292493901813229,0.0,1007.4365518074263,0.0,268.649747148647,2022-03-04,0,73326.31377041852
57,Utah Jazz,New Orleans Pelicans,0,0,0,0,0.6666218122570139,0.4173167663069681,0.3059104855441549,0.6940895144558451,142.0,-168.0,0.4132231404958678,0.6268656716417911,-0.10731265495171287,0.06722384281405402,0.0,0.018015989874166492,0.0,1365.4297568458514,812.7558076463404,2022-03-04,0,71960.88401357266
58,Minnesota Timberwolves,Oklahoma City Thunder,1,0,0,0,0.4823767436092002,0.1909076400754036,0.23436484541709016,0.7656351545829099,330.0,-420.0,0.2325581395348837,0.8076923076923077,0.0018067058822064663,-0.04205715310939784,0.0002354192513178093,0.0,17.842397410793428,0.0,58.87991145561831,2022-03-04,0,71943.04161616188
59,Houston Rockets,Denver Nuggets,0,0,0,0,0.1645836416656976,0.6001017037312061,1.0253844818401825,-0.025384481840182268,-1200.0,750.0,0.923076923076923,0.1176470588235294,0.10230755876325924,-0.14303154066371165,0.0,0.0,0.0,0.0,0.0,2022-03-04,-1,71943.04161616188
60,New York Knicks,Phoenix Suns,0,0,0,0,0.3097199336909596,0.6123148970714178,0.9033670763538546,0.0966329236461454,-270.0,220.0,0.7297297297297297,0.3125,0.1736373466241249,-0.2158670763538546,0.0642458182509262,0.0,4869.183020496311,0.0,1803.4011187023373,2022-03-04,1,73746.44273486423
61,Sacramento Kings,Dallas Mavericks,0,0,0,0,0.3446263743814865,0.5202223619207799,0.7811631101244625,0.2188368898755375,-320.0,260.0,0.7619047619047619,0.2777777777777778,0.019258348219700627,-0.05894088790224027,0.008088506252274249,0.0,596.4985631439342,0.0,186.40580098247943,2022-03-05,1,73932.84853584673
62,San Antonio Spurs,Charlotte Hornets,0,0,0,0,0.4633804984650317,0.5012016274274488,0.6238647888676376,0.3761352111323624,-168.0,142.0,0.6268656716417911,0.4132231404958678,-0.003000882774153446,-0.03708792936350541,0.0,0.0,0.0,0.0,0.0,2022-03-05,-1,73932.84853584673
63,Philadelphia 76ers,Miami Heat,0,0,1,0,0.5724026225745312,0.553957034601256,0.6063896108589154,0.3936103891410846,-124.0,104.0,0.5535714285714286,0.4901960784313725,0.0528181822874868,-0.09658568929028792,0.011831272832397051,0.0,872.5142844149243,0.0,703.6405519475194,2022-03-05,1,74636.48908779424
64,Portland Trailblazers,Minnesota Timberwolves,0,0,0,1,0.1811883200004281,0.5332610593259126,0.9215215347349348,0.07847846526506519,-1000.0,660.0,0.9090909090909092,0.13157894736842105,0.01243062564402575,-0.053100482103355856,0.013673688208428292,0.0,1008.3858644372452,0.0,100.83858644372455,2022-03-05,1,74737.32767423798
65,Orlando Magic,Memphis Grizzlies,0,1,1,0,0.2125956974090759,0.6154352659873166,1.078110711249738,-0.0781107112497379,-1800.0,980.0,0.9473684210526316,0.0925925925925926,0.13074229019710634,-0.1707033038423305,0.0,0.0,0.0,0.0,0.0,2022-03-05,-1,74737.32767423798
66,Golden State Warriors,Los Angeles Lakers,0,0,0,0,0.5665094926863142,0.376055675117454,0.36612583619920014,0.6338741638007999,200.0,-245.0,0.3333333333333333,0.7101449275362319,0.03279250286586688,-0.07627076373543208,0.004918875429880021,0.0,362.7495652095777,0.0,725.4991304191552,2022-03-05,1,75462.82680465713
67,Brooklyn Nets,Boston Celtics,0,0,0,0,0.3933510614326401,0.6619338764006271,0.8714243805212198,0.12857561947878016,-200.0,168.0,0.6666666666666665,0.373134328358209,0.20475771385455327,-0.2445587088794288,0.06142731415636595,0.0,4635.478769257107,0.0,2317.7393846285536,2022-03-06,1,77780.56618928569
68,Phoenix Suns,Milwaukee Bucks,0,0,0,0,0.5702470705489244,0.5592816829113442,0.5670646808009376,0.4329353191990624,-420.0,330.0,0.8076923076923077,0.2325581395348837,-0.2406276268913701,0.20037717966417865,0.0,0.02610975371381722,0.0,1970.3158224180427,6502.042213979538,2022-03-06,0,75810.25036686765
69,Indiana Pacers,Washington Wizards,0,0,0,0,0.3195690939351443,0.26925657783657,0.5099762111780171,0.4900237888219829,-136.0,116.0,0.576271186440678,0.46296296296296297,-0.06629497526266093,0.027060825859019973,0.0,0.005038912401334751,0.0,380.2505738257632,441.0906656378853,2022-03-06,0,75429.99979304189
70,Memphis Grizzlies,Houston Rockets,0,1,1,0,0.6301639566334987,0.15862336887890946,0.1255242449502829,0.8744757550497171,440.0,-590.0,0.1851851851851852,0.855072463768116,-0.05966094023490232,0.019403291281601117,0.0,0.013388270984304779,0.0,1010.3167745024084,171.2401312715946,2022-03-06,0,74419.68301853948
71,Utah Jazz,Oklahoma City Thunder,1,0,0,0,0.6094347256563735,0.19394531072542032,0.15497389468829553,0.8450261053117045,700.0,-1100.0,0.125,0.9166666666666664,0.029973894688295533,-0.07164056135496201,0.0034255879643766323,0.0,258.50455125987185,0.0,1809.5318588191026,2022-03-06,0,74161.1784672796
72,Toronto Raptors,Cleveland Cavaliers,0,0,0,0,0.4466033617654044,0.5593443482340501,0.7091426413365474,0.29085735866345264,-196.0,148.0,0.6621621621621621,0.4032258064516129,0.0469804791743853,-0.11236844778816024,0.01390622183561802,0.0,1049.4028098883837,0.0,535.4095968818284,2022-03-06,1,74696.58806416142
73,New Orleans Pelicans,Denver Nuggets,0,1,0,0,0.4375795020865446,0.6027993623036234,0.7668589024630171,0.2331410975369829,-162.0,136.0,0.6183206106870229,0.423728813559322,0.1485382917759941,-0.19058771602233904,0.03891703244531046,0.0,2936.7892791716854,0.0,1812.832888377584,2022-03-06,1,76509.42095253902
74,New York Knicks,Los Angeles Clippers,1,0,0,0,0.3251853116578868,0.4061557534771216,0.6805221155529547,0.3194778844470453,-215.0,180.0,0.6825396825396826,0.35714285714285715,-0.0020175669867278367,-0.03766497269581187,0.0,0.0,0.0,0.0,0.0,2022-03-06,-1,76509.42095253902
75,Atlanta Hawks,Detroit Pistons,0,0,0,0,0.5130614472370302,0.24329755646254064,0.27121519173292497,0.7287848082670749,250.0,-310.0,0.2857142857142857,0.7560975609756098,-0.014499093981360678,-0.02731275270853484,0.0,0.0,0.0,0.0,0.0,2022-03-07,-1,76509.42095253902
76,Chicago Bulls,Philadelphia 76ers,0,0,0,0,0.4650448520058533,0.5596856618398064,0.6888747486473322,0.3111252513526678,-300.0,245.0,0.75,0.2898550724637681,-0.061125251352667775,0.02127017888889965,0.0,0.00299518845578383,0.0,229.1601343957504,561.4423292695884,2022-03-07,0,76280.26081814327
77,Houston Rockets,Miami Heat,0,0,1,0,0.16262477008509152,0.570822508722295,1.0994604491684652,-0.0994604491684652,-1600.0,900.0,0.9411764705882352,0.1,0.15828397858023002,-0.1994604491684652,0.0,0.0,0.0,0.0,0.0,2022-03-07,-1,76280.26081814327
78,Portland Trailblazers,Minnesota Timberwolves,0,0,0,0,0.18826809182374327,0.5109674571818871,0.949281113630532,0.050718886369468086,-1500.0,870.0,0.9375,0.10309278350515463,0.011781113630531914,-0.05237389713568655,0.018849781808851062,0.0,1442.1858912768985,0.0,96.14572608512657,2022-03-07,1,76376.4065442284
79,Utah Jazz,Dallas Mavericks,0,0,1,0,0.6610906324997854,0.5506876430311637,0.4861953998898488,0.5138046001101513,-116.0,-102.0,0.5370370370370371,0.504950495049505,-0.05084163714718831,0.008854105060646322,0.0,0.0017885292222505535,0.0,136.8393351510848,134.1562109324361,2022-03-07,0,76239.56720907733
80,Los Angeles Lakers,San Antonio Spurs,0,0,0,0,0.3757537837641813,0.4624048847982194,0.682429083005175,0.317570916994825,-142.0,120.0,0.5867768595041323,0.4545454545454545,0.09565222350104274,-0.13697453755062955,0.02314783808725235,0.0,1771.0276883588058,0.0,1247.202597435779,2022-03-07,1,77486.7698065131
81,Golden State Warriors,Denver Nuggets,1,0,0,1,0.4447877505594302,0.5996538417486744,0.7166842384025859,0.2833157615974141,-335.0,270.0,0.7701149425287356,0.2702702702702703,-0.0534307041261497,0.01304549132714383,0.0,0.0017877154781641585,0.0,136.7770760622312,369.2981053680242,2022-03-07,0,77349.99273045086
82,New York Knicks,Sacramento Kings,0,0,1,0,0.3257247428011501,0.3633956279515635,0.6824610237297274,0.3175389762702726,-164.0,138.0,0.6212121212121212,0.4201680672268908,0.061248902517606174,-0.10262909095661817,0.01616971026464803,0.0,1237.1351693185475,0.0,754.3507129991142,2022-03-07,0,76112.85756113232
83,Cleveland Cavaliers,Indiana Pacers,0,0,0,0,0.5141517250355893,0.29638747618481354,0.33027180697108743,0.6697281930289125,126.0,-148.0,0.4424778761061947,0.5967741935483871,-0.11220606913510728,0.07295399948052539,0.0,0.0180925918711703,0.0,1377.0788680020855,930.4586945960036,2022-03-08,1,77043.31625572832
84,Phoenix Suns,Orlando Magic,1,1,0,0,0.5626561218048148,0.2317198811441969,0.2202993569964787,0.7797006430035213,210.0,-255.0,0.3225806451612903,0.7183098591549296,-0.1022812881648116,0.06139078384859165,0.0,0.021793728266250045,0.0,1658.7829352551125,650.5031118647502,2022-03-08,1,77693.81936759308
85,Brooklyn Nets,Charlotte Hornets,0,1,0,0,0.3743784329176383,0.5099897592687389,0.7365234352409669,0.26347656475903314,134.0,-158.0,0.4273504273504273,0.6124031007751938,0.30917300789053953,-0.34892653601616064,0.05398991331819869,0.0,4109.3265821259365,0.0,5506.497620048756,2022-03-08,0,73584.49278546713
86,New Orleans Pelicans,Memphis Grizzlies,1,0,0,0,0.4356219349646582,0.6222087015798317,0.7898370278655349,0.2101629721344651,-230.0,190.0,0.696969696969697,0.3448275862068966,0.09286733089583787,-0.13466461407243147,0.030646219195626507,0.0,2332.571316423959,0.0,1014.1614419234604,2022-03-08,1,74598.65422739058
87,Milwaukee Bucks,Oklahoma City Thunder,1,1,0,0,0.5708542431142116,0.1911614905702536,0.17500559759588788,0.8249944024041121,610.0,-900.0,0.14084507042253522,0.9,0.03416052717335266,-0.07500559759588787,0.003976061359521376,0.0,302.6293919115725,0.0,1846.0392906605925,2022-03-08,0,74296.02483547901
88,Los Angeles Clippers,Golden State Warriors,1,0,0,1,0.3685571514101092,0.6012542657352948,0.793028799619235,0.20697120038076505,-250.0,205.0,0.7142857142857143,0.3278688524590164,0.0787430853335207,-0.12089765207825134,0.027560079866732257,0.0,2097.6764332700227,0.0,839.0705733080092,2022-03-08,1,75135.09540878702
