,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP_Prior_Year
384,Myles Turner,24,53.52777777777778,1657.0833333333333,15.3,0.599,0.47700000000000004,0.32899999999999996,4.7,18.0,11.4,4.4,1.3,8.8,11.9,16.4,1.2527777777777778,2.5055555555555555,3.758333333333333,0.11,-1.8222222222222222,2.2777777777777777,0.45555555555555555,1.025
385,Naji Marshall,23,36.44444444444444,797.2222222222222,11.4,0.508,0.397,0.359,2.3,20.6,11.5,16.5,1.8,1.4,13.6,16.8,0.22777777777777777,0.7972222222222222,1.025,0.061,-2.3916666666666666,0.9111111111111111,-1.4805555555555556,0.11388888888888889
386,Nassir Little,20,54.666666666666664,728.8888888888889,11.6,0.589,0.479,0.26899999999999996,5.2,16.5,10.7,4.9,0.4,1.8,8.8,13.8,1.025,0.22777777777777777,1.2527777777777778,0.08199999999999999,-1.2527777777777778,-1.8222222222222222,-3.075,-0.11388888888888889
387,Nate Darling,22,7.972222222222221,29.61111111111111,8.2,0.541,1.0,0.429,4.1,0.0,2.1,5.1,0.0,3.8,10.7,15.4,0.0,0.0,0.0,0.038,-1.7083333333333333,-2.8472222222222223,-4.555555555555555,0.0
388,Nate Hinton,21,23.916666666666664,105.91666666666666,10.4,0.442,0.452,0.23800000000000002,1.2,9.4,5.3,12.4,3.7,2.0,9.7,24.4,-0.22777777777777777,0.11388888888888889,0.0,-0.015,-5.125,1.1388888888888888,-3.872222222222222,0.0
389,Nathan Knight,23,37.58333333333333,317.75,13.9,0.499,0.33,0.55,10.8,17.3,14.1,4.0,1.6,3.2,10.8,21.7,0.11388888888888889,0.3416666666666666,0.45555555555555555,0.07,-2.9611111111111112,-1.1388888888888888,-4.213888888888889,-0.11388888888888889
390,Naz Reid,21,79.72222222222221,1534.0833333333333,18.2,0.599,0.299,0.28600000000000003,6.4,20.0,12.9,8.7,1.2,4.9,9.5,22.5,2.1638888888888888,1.4805555555555556,3.6444444444444444,0.113,-0.11388888888888889,-0.22777777777777777,-0.22777777777777777,0.6833333333333332
391,Nemanja Bjelica,32,84.27777777777777,1355.2777777777778,12.966666666666669,0.553,0.4693333333333333,0.24533333333333332,5.033333333333334,17.933333333333334,11.466666666666667,16.733333333333334,1.4333333333333336,1.0666666666666667,12.166666666666666,17.866666666666667,1.1388888888888888,0.6833333333333335,2.05,0.08166666666666667,-5.125,-1.9361111111111113,-6.947222222222223,-0.11388888888888889
392,Nerlens Noel,26,72.88888888888889,1761.861111111111,14.8,0.638,0.013000000000000001,0.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,1.8222222222222222,4.1,5.9222222222222225,0.162,-2.733333333333333,4.3277777777777775,1.5944444444444443,1.4805555555555556
393,Nic Claxton,21,36.44444444444444,676.5,16.9,0.612,0.034,0.441,8.4,21.8,15.4,6.4,1.9,5.9,9.4,14.0,1.1388888888888888,1.025,2.1638888888888888,0.153,-1.1388888888888888,1.5944444444444443,0.45555555555555555,0.45555555555555555
